Sublime-Style-Column-Selection@1.2.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",11136,6618
language-scala@1.1.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",6592,4026
sublime-tabs@0.5.6,"Use Pane::onDidChangeActiveItem instead",4838,2730
sublime-tabs@0.5.6,"Use Pane::onDidDestroy instead",4838,2730
sublime-tabs@0.5.6,"Use TextEditor::onDidChangeModified instead",4605,2730
sublime-tabs@0.5.6,"Use TextEditor::onDidChangeTitle instead",4596,2730
sublime-tabs@0.5.6,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",4838,2721
sublime-tabs@0.5.6,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",4821,2721
sublime-tabs@0.5.6,"Use Pane::onDidMoveItem instead",4821,2712
sublime-tabs@0.5.6,"Use Pane::onDidRemoveItem instead",4821,2721
auto-indent@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `auto-indent` package",4294,2471
auto-indent@0.1.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",4303,2471
auto-indent@0.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",4294,2471
language-haskell@1.0.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",4976,2411
atom-rails@0.4.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-rails` package",3966,2376
atom-rails@0.4.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",3966,2376
ruby-slim@0.2.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",3490,2168
regex-railroad-diagram@0.7.4,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `regex-railroad-diagram` package",5944,2108
ask-stack@1.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",5192,1996
recent-files@0.3.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",3188,1909
recent-files@0.3.0,"Use ::getDirectories instead",3196,1909
recent-files@0.3.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",3179,1909
atom-lint@0.20.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-lint` package",4173,2212
atom-lint@0.20.1,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",4164,2212
atom-lint@0.20.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",4155,2194
atom-lint@0.20.1,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",4164,2194
atom-lint@0.20.1,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",4130,2194
atom-lint@0.20.1,"Use PackageManager::onDidActivateInitialPackages instead",4147,2194
atom-lint@0.20.1,"Use Workspace::onDidAddTextEditor instead",4139,2194
atom-lint@0.20.1,"Use ::addRightTile({item, priority}) instead.",4121,2186
atom-lint@0.20.1,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",3940,2159
atom-lint@0.20.1,"Use TextEditor::onDidChangeGrammar instead",3940,2159
atom-lint@0.20.1,"Use TextEditorView::getPaneView() instead",3948,2159
coffee-lint@0.7.3,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `coffee-lint` package",3033,1788
coffee-lint@0.7.3,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",3033,1788
coffee-lint@0.7.3,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",3024,1779
coffee-lint@0.7.3,"Requiring `$$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",3024,1779
coffee-lint@0.7.3,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",3033,1771
coffee-lint@0.7.3,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",3024,1771
coffee-lint@0.7.3,"Use Workspace::onDidChangeActivePaneItem instead",3015,1762
coffee-lint@0.7.3,"Use TextBuffer::onDidDestroy instead",2851,1728
coffee-lint@0.7.3,"Use TextBuffer::onDidSave instead. A TextBuffer instance is no longer provided as a callback argument.",2851,1728
coffee-lint@0.7.3,"Use TextEditor::onDidStopChanging instead",2842,1719
atom-terminal@0.7.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",2635,1633
atom-terminal@0.7.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",2626,1624
coffee-lint@0.7.3,"Use Workspace::onDidAddTextEditor instead",2574,1642
seti-monokai@0.3.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `seti-monokai` package",3205,1650
jsdoc@0.9.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",2730,1581
atom-ctags@3.2.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",4665,1754
atom-lint@0.20.1,"Use ::dispose to cancel subscriptions instead of ::off",3162,1667
auto-update-packages@0.2.2,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",2298,1425
auto-update-packages@0.2.2,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",2264,1425
fancy-new-file@0.7.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `fancy-new-file` package",2246,1374
fancy-new-file@0.7.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",2246,1374
fancy-new-file@0.7.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",2246,1374
Atom-Syntax-highlighting-for-Sass@0.5.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",2592,1322
sublime-tabs@0.5.6,"Use ::getPaths instead",2047,1356
filetype-color@0.1.4,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",2264,1365
auto-update-packages@0.2.2,"Use ::dispose to cancel subscriptions instead of ::off",1832,1253
rails-rspec@0.3.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",2549,1495
filetype-color@0.1.4,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `filetype-color` package",2238,1313
filetype-color@0.1.4,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",2220,1305
filetype-color@0.1.4,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",2221,1305
file-types@0.3.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",2557,1305
localization@1.16.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",1866,1166
file-types@0.3.0,"Call GrammarRegistry::onDidAddGrammar instead",2505,1279
file-types@0.3.0,"The atom.syntax global is deprecated. Use atom.grammars instead.",2505,1279
file-types@0.3.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",2532,1288
file-types@0.3.0,"Use Workspace::getTextEditors instead",2496,1279
jsdoc@0.9.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",1434,1209
rspec@0.3.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",2341,1348
rspec@0.3.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",2307,1339
refactor@0.4.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",1719,1114
refactor@0.4.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `refactor` package",1728,1123
refactor@0.4.1,"Subscribing via ::on is deprecated. Use documented event subscription methods instead.",1719,1114
file-types@0.3.0,"Use TextEditor::onDidChangePath instead",2238,1210
refactor@0.4.1,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",1711,1106
html2jade@0.7.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `html2jade` package",2039,1123
html2jade@0.7.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",2039,1123
language-typescript@0.15.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",2272,1132
lorem-ipsum@0.4.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",2419,1140
atom-lint@0.20.1,"TextBuffer::on is deprecated. Use event subscription methods instead.",2255,1322
symbol-gen@0.3.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",2255,1382
symbol-gen@0.3.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",2263,1382
remote-ftp@unknown,"Use Workspace::getTextEditors instead",1849,1105
remote-ftp@unknown,"Use Workspace::observeTextEditors instead",1849,1105
remote-ftp@unknown,"Use Workspace::onDidAddTextEditor or Workspace::observeTextEditors instead.",1858,1105
atom-runner@2.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-runner` package",1892,1132
node-resolver@1.0.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",2090,1123
atom-runner@2.3.0,"Requiring `ScrollView` from `atom` is no longer supported. Please require `ScrollView` from `atom-space-pen-view` instead: `{ScrollView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",1867,1114
language-erlang@2.0.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",1521,1020
Remote-FTP@0.6.2,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `Remote-FTP` package",1797,1071
Remote-FTP@0.6.2,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",1789,1071
Remote-FTP@0.6.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",1797,1071
Remote-FTP@0.6.2,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",1797,1071
remote-ftp@unknown,"Config::observe no longer takes a `callNow` option. Use ::onDidChange instead. Note that ::onDidChange passes its callback different arguments. See https://atom.io/docs/api/latest/Config",1771,1062
remote-ftp@unknown,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",1780,1062
remote-ftp@unknown,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",1780,1062
remote-ftp@unknown,"Use TextBuffer::onDidSave instead. A TextBuffer instance is no longer provided as a callback argument.",1685,1062
remote-ftp@unknown,"Requiring `ScrollView` from `atom` is no longer supported. Please require `ScrollView` from `atom-space-pen-view` instead: `{ScrollView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",1763,1054
refactor@0.4.1,"Use TextEditor::onDidChangeGrammar instead",1495,976
file-types@0.3.0,"Use Workspace::onDidAddTextEditor instead",2100,1019
markdown-pdf@1.3.6,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",1357,976
angularjs@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `angularjs` package",1745,1036
angularjs@0.1.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",1737,1028
linter-clang@2.25.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",2470,1313
linter-clang@2.25.1,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",2436,1304
refactor@0.4.1,"Use Workspace::onDidAddTextEditor instead",1443,881
linter-scalac@0.3.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",1546,873
linter-scalac@0.3.3,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",1538,873
remote-ftp@unknown,"Use `Project::getDirectories()[0]?.resolve()` instead",1460,898
csscomb@0.1.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",1279,812
html-helper@0.2.3,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `html-helper` package",1555,924
language-javascript-semantic@0.1.0,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",1529,734
language-javascript-semantic@0.1.0,"The atom.syntax global is deprecated. Use atom.grammars instead.",1529,734
npm-docs@0.2.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `npm-docs` package",1581,803
npm-docs@0.2.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",1581,803
atom-jade@0.1.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",1114,786
language-javascript-semantic@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `language-javascript-semantic` package",1529,726
html-helper@0.2.3,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",1512,898
comment@0.2.7,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `comment` package",1261,725
comment@0.2.7,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",1261,725
comment@0.2.7,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",1261,725
atomic-emacs@0.5.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",985,725
highlight-css-color@1.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `highlight-css-color` package",1538,803
highlight-css-color@1.3.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",1901,864
highlight-css-color@1.3.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",1530,803
minifier@0.2.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",1322,830
minifier@0.2.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",1322,830
linter-python-pep8@0.2.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",1270,743
linter-python-pep8@0.2.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",1270,743
ruby-bundler@0.2.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `ruby-bundler` package",1002,726
autocomplete-plus-async@0.22.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",1131,639
autocomplete-plus-async@0.22.0,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",1131,639
autocomplete-plus-async@0.22.0,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",1131,639
autocomplete-plus-async@0.22.0,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",1131,639
autocomplete-plus-async@0.22.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `autocomplete-plus-async` package",1131,639
autocomplete-plus-async@0.22.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",1131,639
autocomplete-plus-async@0.22.0,"Use TextEditor::onDidDestroy instead",985,639
autocomplete-plus-async@0.22.0,"Use Workspace::onDidAddTextEditor instead",1123,639
ruby-bundler@0.2.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",993,717
seti-ui@0.6.3,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `seti-ui` package",829,639
SFTP-deployment@1.0.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",890,656
atom-spotify@1.2.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",916,605
atom-spotify@1.2.0,"Use PackageManager::onDidActivateInitialPackages instead",907,605
SFTP-deployment@1.0.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `SFTP-deployment` package",881,648
php-getters-setters@0.3.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",1235,631
php-getters-setters@0.3.0,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",1244,631
php-getters-setters@0.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `php-getters-setters` package",1235,631
php-getters-setters@0.3.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",1235,631
sassbeautify@0.2.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",1184,596
sassbeautify@0.2.0,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",1184,596
autocomplete-plus-async@0.22.0,"TextEditor::on is deprecated. Use documented event subscription methods instead.",950,604
autocomplete-plus-async@0.22.0,"Use TextBuffer::onDidChange instead",950,604
autocomplete-plus-async@0.22.0,"Use TextBuffer::onDidSave instead. A TextBuffer instance is no longer provided as a callback argument.",950,604
autocomplete-plus-async@0.22.0,"Use TextEditor::onDidChangeCursorPosition instead",950,604
cut-line@0.10.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",803,587
